title;type of estate;City;Region;Total Price;Price per Square Meter;Area;Room number;Build_year;Floor_no;Heating;MarketType;Building_ownership;Extras_types;Rent;Equipment_types;Construction_status;Building_type;Building_material;Media_types;Security_types;latitude;longitude
3-pokojowe na Bielanach gotowe do wprowadzenia.;FLAT;Warszawa;Bielany;579000;10432;55.5;THREE;1972;floor_1;urban;secondary;co_operative_ownership;balcony, basement, lift, separate_kitchen;500;fridge, furniture, oven, stove, washing_machine;ready_to_use;block;concrete_plate;cable-television, internet, phone;anti_burglary_door, entryphone, monitoring;52.2704;20.9455
1-pokojowe mieszkanie 31m2 + balkon;FLAT;Warszawa;Bielany;479000;15407;31.09;ONE;2024;floor_4;No data;primary;full_ownership;garage, balcony, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.302160658005;20.927214581104
Gotowe do wprowadzenia 2 pokojowe z 2 ogródkami;FLAT;Warszawa;Wilanów;755000;14519;52;TWO;2017;ground_floor;urban;secondary;full_ownership;garage, garden, lift, terrace;550;dishwasher, fridge, oven, stove, washing_machine;ready_to_use;apartment;brick;cable-television, internet;anti_burglary_door, closed_area, entryphone;52.1611563;21.071595
Sprzedam 3 pokoje, blisko metra M2, Bemowo;FLAT;Warszawa;Bemowo;739000;12374;59.72;THREE;2008;floor_1;No data;secondary;full_ownership;balcony, garage, lift;No data;dishwasher, fridge, oven, stove, washing_machine;ready_to_use;block;brick;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.24631024377325;20.906780279870624
Park Pelargonii | 3-pok. mieszkanie M4;FLAT;Warszawa;Wawer;790000;9382;84.2;THREE;No data;floor_1;No data;primary;full_ownership;garage, balcony;No data;No data;to_completion;ribbon;No data;internet, phone;entryphone;52.166275;21.177645
3 pokoje 69,87m2 - Księcia Witolda, Rembertów;FLAT;Warszawa;Rembertów;681000;9747;69.87;THREE;2022;floor_1;boiler_room;primary;No data;balcony, garage;No data;No data;to_completion;apartment;brick;cable-television, internet, phone;closed_area, entryphone, monitoring;52.249462;21.167871
2 pokoje na parterze z ogródkiem/ od dewelopera;FLAT;Warszawa;Białołęka;460000;9800;46.94;TWO;2022;ground_floor;gas;primary;full_ownership;balcony, garage, garden, lift;No data;No data;to_completion;block;brick;cable-television, internet;closed_area, entryphone;52.32899;21.00768
2 pokojowe mieszkanie przy parku;FLAT;Warszawa;Włochy;724890;14600;49.65;TWO;2024;floor_4;No data;primary;No data;balcony, garage, two_storey, usable_room;No data;No data;to_completion;block;No data;cable-television, internet;entryphone, monitoring;52.198605;20.927866
Mieszkanie w Inwestycji Apartamenty Ruczaj Z_3;FLAT;Warszawa;Wilanów;592384;8900;66.56;TWO;2019;floor_2;boiler_room;primary;full_ownership;balcony, basement, garage, terrace;No data;No data;to_completion;block;breezeblock;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;52.1462738;21.1186841
Mieszkanie 61,35m2, 3 pokoje + 20m2 balkonu;FLAT;Warszawa;Włochy;722700;11780;61.35;THREE;2023;floor_1;boiler_room;primary;full_ownership;air_conditioning, balcony, garage, lift;12;No data;to_completion;apartment;silikat;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.19921;20.915718
4-pokojowe mieszkanie 90m2 + balkon;FLAT;Warszawa;Wola;1362478;15075;90.38;FOUR;2023;floor_4;No data;primary;full_ownership;garage, balcony, lift;No data;No data;to_completion;No data;No data;No data;closed_area;52.23199;20.93373
Apartament Gotowy Do Aranżacji / Bez Prowizji;FLAT;Warszawa;Wola;6378017;25750;247.69;SIX;2023;floor_higher_10;urban;secondary;full_ownership;air_conditioning, balcony, garage, lift, terrace, two_storey, usable_room;No data;No data;to_completion;apartment;No data;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring;52.23159;20.96371
Mieszkanie M3, Osiedle Słoneczne, ul. Kolejowa;FLAT;ul. Kolejowa;Brodnica;543960;9000;60.44;THREE;mieszkanie-m3-osiedle-sloneczne-ul-kolejowa-ID4jiqD;2016;floor_3;gas;secondary;full_ownership;air_conditioning, balcony, basement, garage, lift;500;dishwasher, fridge, furniture, oven, stove;ready_to_use;block;cellular_concrete;cable-television, internet;closed_area, entryphone, monitoring;53.274432144883136;19.408103260327135
Na sprzedaż Apartament w Brodnicy 117 m2!;FLAT;Brodnica;kujawsko-pomorskie;589000;5034;117;FOUR;na-sprzedaz-apartament-w-brodnicy-117-m2-ID4ijDZ;1996;floor_1;urban;secondary;full_ownership;balcony, basement, garage;No data;fridge, furniture;No data;apartment;No data;No data;entryphone;53.2696;19.4
Przestronne mieszkanie na parterze 67 m2;FLAT;Sobieskiego;Brodnica;440000;6567;67;THREE;przestronne-mieszkanie-na-parterze-67-m2-ID4iVix;2016;ground_floor;urban;secondary;full_ownership;balcony, basement, separate_kitchen;No data;No data;No data;block;No data;No data;closed_area, entryphone;53.2459;19.4154
Sprzedam Mieszkanie Parter 45m2 Wyspiańskiego;FLAT;S. Wyspiańskiego;Brodnica;244999;5506;44.5;THREE;sprzedam-mieszkanie-parter-45m2-wyspianskiego-ID4iLTu;No data;ground_floor;urban;secondary;full_ownership;balcony, basement, separate_kitchen;No data;No data;No data;block;No data;No data;entryphone;53.2474;19.4106
Sprzedam Mieszkanie Brodnica;FLAT;Brodnica;kujawsko-pomorskie;230000;3680;62.5;FOUR;sprzedam-mieszkanie-brodnica-ID4ikxZ;No data;floor_3;urban;secondary;full_ownership;basement;No data;No data;No data;block;breezeblock;No data;No data;53.2704;19.3991
Atrakcyjne mieszkanie na Dużym Rynku.;FLAT;Brodnica;kujawsko-pomorskie;330000;6392;51.63;TWO;atrakcyjne-mieszkanie-na-duzym-rynku-ID4jfQu;No data;floor_3;urban;secondary;full_ownership;basement, separate_kitchen;No data;fridge;No data;tenement;brick;No data;entryphone;53.2554;19.403
Mieszkania Okazja 3999 m2. Inwestycja;FLAT;Brodnica;kujawsko-pomorskie;229550;3999;57.4;THREE;mieszkania-okazja-3999-m2-inwestycja-ID4hzLX;2010;floor_1;other;secondary;full_ownership;basement, garage, garden, separate_kitchen, usable_room;No data;furniture, oven, stove;ready_to_use;apartment;breezeblock;cable-television, internet, phone;alarm, closed_area, entryphone, monitoring;53.246204172379855;19.411089746093744
2-pokojowe mieszkanie 42,5 m2 + balkon;FLAT;Brodnica;kujawsko-pomorskie;215000;5059;42.5;TWO;2-pokojowe-mieszkanie-42-5-m2-balkon-ID4hrDb;No data;floor_2;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, separate_kitchen;No data;No data;ready_to_use;block;brick;No data;entryphone;53.25021;19.40285
Mieszkanie nr 64;FLAT;ul. Limbowa;Brodnica;313943.5;6918;45.38;TWO;mieszkanie-nr-64-ID4fe34;2022;floor_3;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Łazienna. Ładne mieszkanie do sprzedania;FLAT;Brodnica;kujawsko-pomorskie;155000;3163;49;TWO;lazienna-ladne-mieszkanie-do-sprzedania-ID4jn1K;1938;floor_2;boiler_room;secondary;full_ownership;basement, separate_kitchen, usable_room;No data;fridge, oven, stove, washing_machine;ready_to_use;block;brick;No data;closed_area;53.25531945372924;19.39765724334716
Sprzedam atrakcyjne mieszkanie ul. Sudecka;FLAT;Brodnica;kujawsko-pomorskie;435000;7632;57;THREE;sprzedam-atrakcyjne-mieszkanie-ul-sudecka-ID4jmwW;No data;floor_1;boiler_room;secondary;No data;balcony, basement, garage;No data;dishwasher, fridge, furniture, oven, stove;ready_to_use;block;No data;cable-television, internet;anti_burglary_door, closed_area, entryphone, monitoring;53.25021;19.40285
Mieszkanie nr 44;FLAT;ul. Limbowa;Brodnica;357943;6130;58.39;FOUR;mieszkanie-nr-44-ID4fe05;2022;floor_1;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 52;FLAT;ul. Limbowa;Brodnica;348807.5;6223;56.05;THREE;mieszkanie-nr-52-ID4fe2E;2022;floor_2;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
NOWE mieszkanie 39,5m2;FLAT;ul. Okrężna;Brodnica;255000;6456;39.5;TWO;nowe-mieszkanie-39-5m2-ID4jl9Q;2022;floor_2;gas;secondary;full_ownership;balcony, basement, garage;380;No data;ready_to_use;block;breezeblock;cable-television, internet;closed_area, entryphone;53.273216697769385;19.414199964120467
3 pokojowe - gotowe do zamieszkania - bezpośrednio;FLAT;ul. Nowa Kolonia;Brodnica;280000;5983;46.8;THREE;3-pokojowe-gotowe-do-zamieszkania-bezposrednio-ID4j9f6;No data;floor_2;urban;secondary;full_ownership;balcony, basement, separate_kitchen;No data;dishwasher, fridge, furniture, oven, stove, washing_machine;ready_to_use;block;concrete_plate;No data;entryphone;53.249555;19.407187
Mieszkanie nr 43;FLAT;ul. Limbowa;Brodnica;365396.07;6095;59.95;THREE;mieszkanie-nr-43-ID4fdYY;2022;ground_floor;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Sprzedam Mieszkanie, 54m2;FLAT;Brodnica;kujawsko-pomorskie;299000;5537;54;TWO;sprzedam-mieszkanie-54m2-ID4gOy2;2000;floor_2;urban;secondary;co_operative_ownership;balcony, basement, separate_kitchen, usable_room;530;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;block;No data;cable-television, internet;No data;53.268847571886845;19.396584359741205
Mieszkanie nr 42;FLAT;ul. Limbowa;Brodnica;356821.47;6083;58.66;THREE;mieszkanie-nr-42-ID4fdXJ;2022;ground_floor;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
sprzedaż mieszkanie Brodnica Kazimierza Wlk.;FLAT;ul. Kazimierza Wielkiego;Brodnica;270000;4463;60.5;THREE;sprzedaz-mieszkanie-brodnica-kazimierza-wlk-ID4iATL;1989;floor_3;urban;secondary;co_operative_ownership;balcony, basement, separate_kitchen, usable_room;640;dishwasher, furniture, oven, stove;ready_to_use;block;concrete_plate;cable-television, internet, phone;entryphone;53.242315225178885;19.407080346557606
Zadbane Mieszkanie 38m3;FLAT;ul. Stanisława Wyspiańskiego;Brodnica;229000;6026;38;TWO;zadbane-mieszkanie-38m3-ID4jjjp;No data;floor_3;urban;secondary;co_operative_ownership_with_a_land_and_mortgage_registe;balcony, basement, garage;500;furniture, oven, stove;ready_to_use;block;No data;cable-television, internet, phone;entryphone;53.246513624132;19.409440776075
Mieszkanie na rynku w atrakcyjnej cenie;FLAT;ul. Duży Rynek;Brodnica;330000;5685;58.05;TWO;mieszkanie-na-rynku-w-atrakcyjnej-cenie-ID4j7p7;No data;floor_2;urban;secondary;co_operative_ownership;basement, garage, separate_kitchen;560;dishwasher, fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;tenement;brick;cable-television, internet;entryphone;53.2550991;19.4032737
Mieszkanie przy Sudeckiej;FLAT;Brodnica;kujawsko-pomorskie;319000;6716;47.5;TWO;mieszkanie-przy-sudeckiej-ID4jiBv;2017;floor_3;other;secondary;full_ownership;balcony;300;No data;ready_to_use;No data;cellular_concrete;internet;No data;53.2577417;19.3822783
Mieszkanie Segment Dom z ogrodem Karbowo Brodnica;FLAT;os. Karbowo;Brodnica;359503;4437;81.03;FIVE;mieszkanie-segment-dom-z-ogrodem-karbowo-brodnica-ID4iusV;2023;ground_floor;other;primary;full_ownership;air_conditioning, garage, garden, separate_kitchen, terrace, usable_room;No data;No data;to_completion;ribbon;silikat;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;53.2599703;19.3956618
Mieszkanie na SPRZEDAŻ apartament NOWE DEWELOPER !;FLAT;ul. Zakątek;Brodnica;242971;4800;50.62;THREE;mieszkanie-na-sprzedaz-apartament-nowe-deweloper-ID4e0xV;2023;floor_1;gas;primary;full_ownership;air_conditioning, balcony, garage, two_storey;500;No data;to_completion;apartment;silikat;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;53.2713931;19.4155206
Mieszkanie Apartament Brodnica NOWE DEWELOPER !!!;FLAT;Jana Pawła II;Brodnica;304321;5900;51.58;THREE;mieszkanie-apartament-brodnica-nowe-deweloper-ID4h1lR;2023;floor_1;boiler_room;primary;full_ownership;air_conditioning, balcony, garage, terrace, two_storey;500;No data;to_completion;apartment;silikat;cable-television, internet;closed_area, entryphone, monitoring;53.2724;19.4058
Apartament Mieszkanie z TARASEM NOWA INWESTYCJA !;FLAT;Brodnica;kujawsko-pomorskie;305670;5926;51.58;THREE;apartament-mieszkanie-z-tarasem-nowa-inwestycja-ID471oM;2024;floor_1;gas;primary;full_ownership;air_conditioning, balcony, garage, garden, terrace, two_storey, usable_room;500;No data;to_completion;apartment;silikat;cable-television, internet, phone;anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;53.2599703;19.3956618
Mieszkanie 67m2, Brodnica;FLAT;ul. Klemensa Malickiego;Brodnica;459000;6851;67;THREE;mieszkanie-67m2-brodnica-ID4j5Nh;1992;floor_2;urban;secondary;full_ownership;balcony, basement, garage, separate_kitchen;700;fridge, furniture, oven, stove, tv, washing_machine;ready_to_use;block;breezeblock;cable-television, internet, phone;entryphone;53.2706378;19.3994631
Mieszkanie nr 41;FLAT;ul. Limbowa;Brodnica;339551.68;5841;58.13;FOUR;mieszkanie-nr-41-ID4fdXz;2022;ground_floor;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 40;FLAT;ul. Limbowa;Brodnica;335688.72;5989;56.05;THREE;mieszkanie-nr-40-ID4fdX8;2022;ground_floor;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 5, Budynek 2.5 | Longinówka;FLAT;ul. Wczasowa;Brodnica;475430;6871;69.19;FOUR;mieszkanie-nr-5-budynek-2-5-longinowka-ID460zb;2020;ground_floor;No data;primary;No data;air_conditioning, basement, lift, terrace;No data;No data;to_completion;apartment;silikat;cable-television, internet;closed_area, entryphone, monitoring;53.286434;19.386068
Mieszkanie nr 2, Budynek 2.5. | Longinówka;FLAT;ul. Wczasowa;Brodnica;472755;7114;66.45;THREE;mieszkanie-nr-2-budynek-2-5-longinowka-ID460u3;2020;ground_floor;No data;primary;No data;air_conditioning, basement, lift, terrace;No data;No data;No data;apartment;silikat;No data;closed_area, entryphone, monitoring;53.286434;19.386068
Mieszkanie Dom Segment z ogrodem Karbowo Brodnica;FLAT;Brodnica;kujawsko-pomorskie;359994;4443;81.03;FIVE;mieszkanie-dom-segment-z-ogrodem-karbowo-brodnica-ID4iDGN;2023;ground_floor;other;primary;full_ownership;air_conditioning, garage, garden, terrace, two_storey;No data;No data;ready_to_use;ribbon;silikat;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring, roller_shutters;53.25021;19.40285
Mieszkanie nr 7, Budynek 2.5 | Longinówka;FLAT;ul. Wczasowa;Brodnica;453680;6826;66.46;THREE;mieszkanie-nr-7-budynek-2-5-longinowka-ID460B5;2020;floor_1;No data;primary;No data;air_conditioning, balcony, basement, lift;No data;No data;to_completion;apartment;silikat;internet;closed_area, entryphone, monitoring;53.286434;19.386068
Mieszkanie nr 39;FLAT;ul. Limbowa;Brodnica;329624;5645;58.39;FOUR;mieszkanie-nr-39-ID4fdVk;2022;ground_floor;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 1, Budynek 1.5 | Longinówka;FLAT;ul. Wczasowa;Brodnica;385459.5;7350;52.44;TWO;mieszkanie-nr-1-budynek-1-5-longinowka-ID460pA;2020;ground_floor;No data;primary;No data;air_conditioning, balcony, basement;No data;No data;to_completion;apartment;silikat;cable-television, internet;closed_area, entryphone, monitoring;53.286434;19.386068
Mieszkanie 42,7m2 Okrężna;FLAT;Brodnica;kujawsko-pomorskie;250000;5855;42.7;TWO;mieszkanie-42-7m2-okrezna-ID4j9Re;2022;floor_2;urban;primary;full_ownership;balcony, basement, garage;400;No data;to_completion;block;breezeblock;cable-television, internet, phone;alarm, anti_burglary_door, closed_area, entryphone, monitoring;53.25021;19.40285
Mieszkanie w centrum Brodnicy;FLAT;ul. Ogrodowa;Brodnica;319000;6646;48;TWO;mieszkanie-w-centrum-brodnicy-ID4j4En;1998;floor_1;urban;secondary;full_ownership;balcony, basement, garage, separate_kitchen;No data;No data;No data;block;No data;cable-television, internet, phone;closed_area, entryphone;53.2533891498234;19.404940336184698
Mieszkanie, 38 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;190000;5000;38;TWO;mieszkanie-38-m-brodnica-ID4j4b0;No data;floor_3;No data;secondary;co_operative_ownership;balcony;No data;No data;No data;No data;No data;No data;No data;53.2519201;19.4003911
Witosa. Duże ładne mieszkanie. 4 pokoje;FLAT;ul. Wincentego Witosa;Brodnica;230000;3069;74.95;FOUR;witosa-duze-ladne-mieszkanie-4-pokoje-ID4hnSt;1982;floor_4;urban;secondary;co_operative_ownership;balcony, basement;849;No data;ready_to_use;block;concrete_plate;cable-television, internet;entryphone;53.24669761937149;19.41377393757323
Mieszkanie, 29,78 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;135000;4533;29.78;ONE;mieszkanie-29-78-m-brodnica-ID4j2vj;No data;ground_floor;electrical;secondary;full_ownership;garage;No data;No data;ready_to_use;No data;brick;No data;No data;53.2650963;19.4205617
Mieszkanie, 60,50 m², Brodnica;FLAT;Brodnica;brodnicki;269000;4446;60.5;THREE;mieszkanie-60-50-m-brodnica-ID4j1uV;No data;floor_3;No data;secondary;full_ownership;balcony;No data;No data;No data;No data;concrete_plate;phone;No data;53.246513624132;19.409440776075
Mieszkanie nr 72;FLAT;ul. Limbowa;Brodnica;380478.5;6569;57.92;FOUR;mieszkanie-nr-72-ID4fe74;2022;floor_5;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 70;FLAT;ul. Limbowa;Brodnica;385024.5;6594;58.39;FOUR;mieszkanie-nr-70-ID4fe5C;2022;floor_5;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie nr 67;FLAT;ul. Limbowa;Brodnica;366610;6330;57.92;FOUR;mieszkanie-nr-67-ID4fe4p;2022;floor_4;gas;primary;full_ownership;air_conditioning, balcony, basement, lift;No data;No data;to_completion;block;No data;cable-television, internet;closed_area, entryphone, monitoring;53.27524;19.418232
Mieszkanie w Brodnicy w super cenie;FLAT;Sudecka;Brodnica;449000;6689;67.13;THREE;mieszkanie-w-brodnicy-w-super-cenie-ID4iYkV;2004;ground_floor;urban;secondary;full_ownership;balcony, separate_kitchen, usable_room;No data;No data;ready_to_use;block;silikat;No data;closed_area;53.2577;19.3835
Mieszkanie, 56,90 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;385000;6766;56.9;THREE;mieszkanie-56-90-m-brodnica-ID4iWlE;No data;floor_3;other;secondary;co_operative_ownership;No data;No data;No data;ready_to_use;No data;cellular_concrete;internet, phone;No data;53.25021;19.40285
Mieszkanie, 73,50 m², Brodnica;FLAT;Brodnica;kujawsko-pomorskie;369999;5034;73.5;FOUR;mieszkanie-73-50-m-brodnica-ID4iNYD;2022;ground_floor;gas;primary;full_ownership;No data;No data;No data;No data;No data;brick;phone;No data;53.2331181;19.384518
